Time,Value
,"0.08
"
,"0.49
"
,"0.37
"
,"0.27
"
,"0.16
"
,"0.08
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.06
"
,"0.11
"
,"0.17
"
,"0.24
"
,"0.39
"
,"0.18
"
,"0.00
"
,"0.02
"
,"0.54
"
,"0.46
"
,"0.00
"
,"0.15
"
,"0.15
"
,"0.03
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.03
"
,"0.12
"
,"0.19
"
,"0.11
"
,"0.37
"
,"0.45
"
,"0.39
"
,"0.55
"
,"0.59
"
,"0.61
"
,"0.18
"
,"0.49
"
,"0.21
"
,"0.20
"
,"0.06
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.09
"
,"0.12
"
,"0.16
"
,"0.21
"
,"0.27
"
,"0.32
"
,"0.38
"
,"0.47
"
,"0.40
"
,"0.08
"
15,"0.03
"
,"0.24
"
,"0.44
"
,"0.26
"
,"0.17
"
,"0.09
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.17
"
,"0.17
"
,"0.15
"
,"0.12
"
,"0.14
"
,"0.16
"
,"0.17
"
,"0.16
"
,"0.23
"
,"0.15
"
,"0.09
"
,"0.01
"
,"0.35
"
,"0.48
"
,"0.36
"
,"0.42
"
,"0.30
"
,"0.15
"
,"0.03
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.07
"
,"0.09
"
,"0.12
"
,"0.13
"
,"0.13
"
,"0.16
"
,"0.23
"
,"0.04
"
,"0.32
"
,"0.27
"
,"0.28
"
,"0.39
"
,"0.42
"
,"0.34
"
,"0.16
"
,"0.25
"
,"0.15
"
,"0.04
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.05
"
,"0.05
"
,"0.06
"
,"0.06
"
,"0.07
"
,"0.08
"
,"0.10
"
,"0.12
"
16,"0.16
"
,"0.24
"
,"0.01
"
,"0.38
"
,"0.48
"
,"0.38
"
,"0.19
"
,"0.42
"
,"0.04
"
,"0.35
"
,"0.13
"
,"0.07
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.17
"
,"0.15
"
,"0.13
"
,"0.08
"
,"0.13
"
,"0.12
"
,"0.08
"
,"0.12
"
,"0.16
"
,"0.23
"
,"0.25
"
,"0.21
"
,"0.49
"
,"0.48
"
,"0.10
"
,"0.12
"
,"0.07
"
,"0.42
"
,"0.06
"
,"0.05
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.09
"
,"0.07
"
,"0.12
"
,"0.14
"
,"0.17
"
,"0.17
"
,"0.17
"
,"0.25
"
,"0.02
"
,"0.34
"
,"0.03
"
,"0.28
"
,"0.30
"
,"0.47
"
,"0.12
"
,"0.45
"
,"0.00
"
,"0.19
"
,"0.09
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.16
"
,"0.16
"
,"0.11
"
,"0.20
"
,"0.18
"
,"0.23
"
,"0.21
"
17,"0.31
"
,"0.27
"
,"0.32
"
,"0.44
"
,"0.10
"
,"0.47
"
,"0.45
"
,"0.33
"
,"0.42
"
,"0.23
"
,"0.07
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.05
"
,"0.08
"
,"0.14
"
,"0.00
"
,"0.22
"
,"0.26
"
,"0.30
"
,"0.00
"
,"0.21
"
,"0.34
"
,"0.00
"
,"0.05
"
,"0.01
"
,"0.39
"
,"0.01
"
,"0.05
"
,"0.13
"
,"0.05
"
